Landmark_ID,Latitude,Longitude,Description
0,-71.84540135849906,-78.09509415625318,Johnson-Adams
1,-73.1423924625809,37.30855782148444,Willis-Hampton
2,71.78042560909492,29.57233443334914,Key-Tran
3,-58.150017404166185,-99.07343164738164,Patton-Hernandez
4,41.21331998399074,48.03824954271198,Shields-Garcia
5,48.02983008266952,149.0701553421652,"Mitchell, Anderson and Roberson"
6,-60.93850112040419,109.60460297916148,"Harris, Gordon and Garcia"
7,-21.094199070135602,-80.59794384342948,Collins-Perry
8,-63.23275687381084,138.49783325049583,"Stewart, Taylor and Campbell"
9,-50.74551618175415,77.29272667771227,Montoya-Kaufman
10,-34.34353750698685,-149.8236793169587,"Graham, Kelly and Warren"
11,28.129804743737594,49.340350130041685,Hart-Garcia
12,55.20456211278622,46.0008272156625,Delgado-Gould
13,87.55587491763026,-50.22264737581864,"Lyons, Doyle and Brown"
14,-40.70144677294179,134.92040518688208,Martin and Sons
15,-19.5151412794567,-32.7283659294869,Rogers Ltd
16,-14.158794183382398,-133.69124958328234,Meyers-Brown
17,76.54466420483672,66.30863337645502,Parsons-Gonzales
18,-44.64028823861562,123.4970983042881,"Osborn, Anderson and Collins"
19,59.2567073514619,-101.70575541968883,Ruiz and Sons
20,-26.77035485420086,166.06855172998985,"Cruz, Gonzales and Clark"
21,-11.981486476048673,165.40501982085726,Jones Group
22,63.058923669465486,139.36734099477127,"Anderson, Marshall and Cowan"
23,-55.98813316263382,14.295885797862837,"Harris, Hodges and Morrison"
24,48.4363029202525,-16.82227255142712,Rodriguez Inc
25,-84.97689929291366,110.27163416320298,"Carter, Schmitt and Ortiz"
26,-22.484745857635545,75.85323507649665,Estes-Roberts
27,-72.190690733532,-139.50649944495822,"Wheeler, Taylor and Gomez"
28,42.6945018949952,-154.6073991468293,Acosta-Vang
29,-85.48344495430764,106.16931297625086,"Brady, Collins and Baker"
30,-76.40648249810994,42.1631166629615,Vega Ltd
31,-10.813582317831631,-34.788419111119225,"Shields, Johnston and Walker"
32,53.127207259428474,78.99784108225037,Murray-Gardner
33,19.629439975827268,-128.51163032547862,Williams-Woodward
34,-5.577510500455318,-177.4395890525356,"Watson, Foley and Franklin"
35,-56.903845613097026,-85.44137897940577,"Davis, Berry and Hoffman"
36,73.18472583155187,-34.3461480533247,"Rodriguez, Calderon and White"
37,28.388603309635315,51.80188662580605,Maynard Ltd
38,-27.572122488848116,127.37028719386353,Wells-Howell
39,40.57391392452672,-153.0129595667711,"Norton, Lawson and Chapman"
40,-24.941410176555806,-18.839721610684194,Vega-Koch
41,51.61980653782541,66.68150188033496,Thompson Inc
42,-1.3684066134762816,-152.71336776304068,"Odonnell, White and Ewing"
43,-73.47366997254049,56.31405192078978,Austin and Sons
44,71.10288822054338,154.75746161346206,"Rosales, West and Shepherd"
45,-71.7328306531389,-81.42156933282156,"Pearson, Baker and Miller"
46,18.08711640874901,-97.67175133235115,Clark and Sons
47,-82.90303234336099,59.1594070773001,Ayala LLC
48,-28.564912870049447,168.6019714393861,Valdez and Sons
49,-18.383980221857485,133.41997355688045,Allen-Thompson
